code,theme,enabled,note,name_zh,market,official_industry,current_themes
4438,紡織纖維 / 綜合,1,current classified theme,廣越,TWSE,紡織纖維,紡織纖維 / 綜合
4439,紡織纖維 / 綜合,1,current classified theme,冠星-KY,TWSE,紡織纖維,紡織纖維 / 綜合
4440,紡織纖維 / 綜合,1,current classified theme,宜新實業,TWSE,紡織纖維,紡織纖維 / 綜合
4441,紡織纖維 / 綜合,1,current classified theme,振大環球,TWSE,紡織纖維,紡織纖維 / 綜合
4442,紡織纖維 / 綜合,1,current classified theme,竣邦-KY,TPEx,紡織纖維,紡織纖維 / 綜合
4502,電機機械 / 綜合,1,current classified theme,健信,TPEx,電機機械,電機機械 / 綜合
4503,電機機械 / 綜合,1,current classified theme,金雨,TPEx,電機機械,電機機械 / 綜合
4506,電機機械 / 綜合,1,current classified theme,崇友,TPEx,電機機械,電機機械 / 綜合
4510,工具機,1,theme singleton cleanup v3,高鋒,TPEx,電機機械,工具機
4513,電機機械 / 綜合,1,current classified theme,福裕,TPEx,電機機械,電機機械 / 綜合
4523,電機機械 / 綜合,1,current classified theme,永彰,TPEx,電機機械,電機機械 / 綜合
4526,工具機,1,theme singleton cleanup v3,東台,TWSE,電機機械,工具機
4527,電機機械 / 綜合,1,current classified theme,方方土霖,TPEx,電機機械,電機機械 / 綜合
4528,電機機械 / 綜合,1,current classified theme,江興鍛,TPEx,電機機械,電機機械 / 綜合
4529,綜合產業 / 綜合,1,current classified theme,淳紳,TPEx,其他,綜合產業 / 綜合
4530,觀光餐旅 / 綜合,1,current classified theme,宏易,TPEx,觀光餐旅,觀光餐旅 / 綜合
4532,電機機械 / 綜合,1,current classified theme,瑞智,TWSE,電機機械,電機機械 / 綜合
4533,工具機,1,theme singleton cleanup v3,協易機,TPEx,電機機械,工具機
4534,電機機械 / 綜合,1,current classified theme,慶騰,TPEx,電機機械,電機機械 / 綜合
4535,電機機械 / 綜合,1,current classified theme,至興,TPEx,電機機械,電機機械 / 綜合
4536,運動休閒 / 綜合,1,current classified theme,拓凱,TWSE,運動休閒,運動休閒 / 綜合
4538,電機機械 / 綜合,1,current classified theme,大詠城,TPEx,電機機械,電機機械 / 綜合
4540,工業感測 / 製程自動化,1,theme singleton cleanup v3,全球傳動,TWSE,電機機械,工業感測 / 製程自動化
4541,綜合產業 / 綜合,1,current classified theme,晟田,TPEx,其他,綜合產業 / 綜合
4542,電子零組件 / 綜合,1,current classified theme,科嶠,TPEx,電子零組件業,電子零組件 / 綜合
4543,電機機械 / 綜合,1,current classified theme,萬在,TPEx,電機機械,電機機械 / 綜合
4545,電子零組件 / 綜合,1,current classified theme,銘鈺,TWSE,電子零組件業,電子零組件 / 綜合
4549,工業感測 / 製程自動化,1,theme singleton cleanup v3,桓達,TPEx,電機機械,工業感測 / 製程自動化
4550,電機機械 / 綜合,1,current classified theme,長佳,TPEx,電機機械,電機機械 / 綜合
4551,汽車零組件 / 綜合,1,current classified theme,智伸科,TWSE,汽車工業,汽車零組件 / 綜合
4552,電機機械 / 綜合,1,current classified theme,力達-KY,TWSE,電機機械,電機機械 / 綜合
4554,電子設備整合 / 綜合,1,current classified theme,橙的,TPEx,其他電子業,電子設備整合 / 綜合
4555,電機機械 / 綜合,1,current classified theme,氣立,TWSE,電機機械,電機機械 / 綜合
4556,綜合產業 / 綜合,1,current classified theme,旭然,TPEx,其他,綜合產業 / 綜合
4557,汽車零組件 / 綜合,1,current classified theme,永新-KY,TWSE,汽車工業,汽車零組件 / 綜合
